statements,sentiment
I am feeling hopeless,Negative
I feel abandoned,Negative
I am feeling homesick,Negative
I feel blue,Negative
life is beautiful,Positive
It always seems impossible until it's done.,Positive
Be happy with what you have.,Positive
"""You are doing your best.",Positive
 Look how strong and resilient you are,Positive
You can do it.,Positive
Success of other is not your failure,Positive
Believe in yourself,Positive
chase your dreams courageously,Positive
go for your dreams,Positive
It works perfectly everytime,Positive
Best customer service I have every experienced ,Positive
It is amazing,Positive
really loved it,Positive
can not stop smiling ,Positive
So clean and easy to use,Positive
The brand never diappoints,Positive
The new feature is awesome,Positive
Love the design,Positive
Highly recommded,Positive
the concert was absolutely awesome,Positive
The update made everything so much better,Positive
Smooth experience from start to finish,Positive
absolutely love it,Positive
I will totally buy this again ,Positive
zero complaints,Positive
Greate vibes all around today,Positive
such a beautiful day outside,Positive
I am obsessed with this brand now,Positive
My new headphones sound incredible!,Positive
Great job,Positive
Keep it up my boy,Positive
had the best coffee this morning,Positive
feeling productive and positive today,Positive
worth every penny,Positive
super happy with my purchase,Positive
Just got promoted ,Positive
feeling proud of myself,Positive
excatly what I needed,Positive
feeling grateful,Positive
works perfectly,Positive
such a simple and powerful tool,Positive
hands down my favourite app,Positive
"greate value for money , super satisfied",Positive
the food is always fresh and tasty,Positive
perfect as always,Positive
love the vibe of this place,Positive
the song made my whole day better,Positive
smooth fast and reliable,Positive
"Great experience overall, totally satisfied",Positive
That service was lightning fast!,Positive
So impressed by the improvements,Positive
The colors and design are beautiful.,Positive
Everything’s working better than before.,Positive
"Honestly, couldn’t be happier right now. ",Positive
Their support is always so helpful.,Positive
I’m really enjoying this app lately.,Positive
Works like a charm every single time.,Positive
The movie was amazing! Great storyline.,Positive
The customer service was so kind and quick,Positive
So glad I gave this a try,Positive
100% satisfied with my purchase!,Positive
The update looks gorgeous — nice job team!,Positive
You look really pretty,Positive
You look stunning,Positive
I’m beyond happy right now.,Positive
Got exactly what I wanted.,Positive
Such a pleasant surprise!,Positive
Best decision I’ve made lately!,Positive
Love how thoughtful this design is.,Positive
Everything’s running perfectly now.,Positive
"Honestly, I’m super impressed.",Positive
This brand always delivers the best stuff.,Positive
Everything just clicked perfectly.,Positive
Such a positive experience overall.,Positive
Love when things work this well.,Positive
"Wow, that update was flawless.",Positive
It’s better than I ever imagined.,Positive
I’d give this 5 stars easily.,Positive
Absolutely loving every bit of it.,Positive
So cool! Works perfectly every time.,Positive
Excellent improvement from the last version.,Positive
this place has the best vibe,Positive
You nailed it!.,Positive
Great work my team,Positive
Feeling thankful,Positive
My experience was 10/10.,Positive
Your smile is contagious.,Positive
You light up the room.,Positive
you have a greate sense of humor,Positive
You have the best laugh,Positive
You're like sunshine on a rainy day.,Positive
you bring out the best in  other people,Positive
You are someone's reason to smile,Positive
You are inspiring,Positive
You are a greate listener,Positive
Your kindness is a blam to all who encounters it ,Positive
You are brave,Positive
How cool you are,Positive
You are a smart cookie,Positive
You are an awesome friend,Positive
you are a gift to those around you,Positive
Your eyes are breathtaking,Positive
that color is perfect on you,Positive
Your voice is magnificent,Positive
Your irresistible when you blush,Positive
 Your confidence is infectious,Positive
I really enjoy talking to you,Positive
Anmol has such a greate personality,Positive
I absolutely love that shirt,Positive
You are enough,Positive
Priya is wonderful,Positive
You are really something special,Positive
"There's ordinary, and then there's you.",Positive
I am feeling kindhearted.,Positive
I feel down,Negative
I am losing my temper,Negative
This is driving me crazy,Negative
he is a reckless driver,Negative
I am feeling empty inside,Negative
I am so fed up with this situation,Negative
How much I have lost,Negative
This is infuriating beyond words,Negative
Nothing ever works out for me,Negative
Why does everthing has to be so difficult,Negative
I miss the way things used to be,Negative
nothing seems to bring me joy anymore,Negative
This is unfair,Negative
No one listens to me,Negative
I am so tired of repeating myself,Negative
I feel invisible,Negative
I am isolated in crowd,Negative
no one notices me,Negative
I feel stuck in a loop,Negative
I am boiling with anger,Negative
my heart feels heavier,Negative
have no energy to smile,Negative
The meeting is scheduled for 3 p.m. tomorrow.,Neutral
She went to the store to buy some groceries.,Neutral
The sky was partly cloudy in the afternoon.,Neutral
He opened the door and looked outside.,Neutral
This document contains five sections.,Neutral
The temperature today is 22 degrees Celsius.,Neutral
I will send the report by the end of the day.,Neutral
The bus arrives at 9:15 a.m. every morning.,Neutral
They live about ten miles from downtown.,Neutral
Please place the files in the correct folder.,Neutral
The quarterly report will be reviewed on Monday.,Neutral
We received the shipment this morning.,Neutral
The budget proposal is under consideration.,Neutral
There were 12 participants in the training session.,Neutral
The team completed the task on schedule.,Neutral
Our office hours are from 9 a.m. to 5 p.m.,Neutral
The contract expires at the end of the year.,Neutral
Attendance was recorded for all employees.,Neutral
The manager approved the travel request.,Neutral
The presentation lasted about 30 minutes.,Neutral
I am okay .,Neutral
I have to do this work,Neutral
I am going to the market,Neutral
She is painting,Neutral
She is a dancer ,Neutral
Mohan is coming,Neutral
I am doing my work ,Neutral
She is busy ,Neutral
Complete your work,Neutral
tanya is eating food,Neutral
ram is wshing his car,Neutral
sonam is playing guitar,Neutral
The door is locked ,Neutral
the book is on the table,Neutral
she closed the window,Neutral
they walked to the park,Neutral
the phone is ringing,Neutral
he turned off the light,Neutral
the box is empty,Neutral
the email was sent,Neutral
the update is complete,Neutral
the meeting ended,Neutral
the screen went dark,Neutral
lunch starts at noon,Neutral
the form was submitted,Neutral
the task is complete,Neutral
car stopped ,Neutral
it begin to rain,Neutral
he closed the gate,Neutral
the water is cold,Neutral
the cat is sleeping,Neutral
rohan is sleeping,Neutral
the key is on the desk,Neutral
the paper is blank,Neutral
 the window is clean,Neutral
the child is reading,Neutral
the app is running,Neutral
the camera turned off,Neutral
the server restarted,Neutral
the screen is locked,Neutral
the file is archieved,Neutral
the presentation is tommorow,Neutral
the account was verified,Neutral
The request was received,Neutral
the phone is black ,Neutral
I am wearing a black coat,Neutral
the watch shows the date,Neutral
the cable is one meter long,Neutral
the screen size is medium,Neutral
the mouse is wireless,Neutral
I have black headphones,Neutral
my bag is big,Neutral
the bottle is made up of glass,Neutral
I am working,Neutral
I have a pencile and a rubber,Neutral
the jacket has a zipper,Neutral
the keyboard has a backlight,Neutral
the door is open ,Neutral
the sun is setting,Neutral
the book was returned,Neutral
the lamp is off,Neutral
the room is quiet,Neutral
the sign is visible,Neutral
the water bottle is empty,Neutral
the system is active,Neutral
the app opened,Neutral
the invoice was sent,Neutral
the account is active,Neutral
she is driving a car,Neutral
the policy was updated,Neutral
the agenda was distributed,Neutral
the presentaion is ready,Neutral
the report was printed,Neutral
the color matches the photo,Neutral
the product is made of metal ,Neutral
the display shows the temperature,Neutral
the lid is closed,Neutral
fill the bottle,Neutral
the deadline is tomorrow,Neutral
the office lights are off,Neutral
the budget was submitted,Neutral
the meeting wil begin soon,Neutral
the result was shared,Neutral
the team is on break,Neutral
the file is in the documents folder,Neutral
the software is installed,Neutral
the device restarted,Neutral
the file was renamed,Neutral
the bag is on the floor,Neutral
the bus stopped here,Neutral
it is time for the dinner,Neutral
the dog is outside,Neutral
the shoes are under the table,Neutral
