Sentiment,Text
negative,We hate this team #thumbs-down
positive,skiing is fantastic #thumbs-up
positive,I love skiing #thumbs-up
negative,that film is rubbish #thumbs-down
positive,We love that movie #thumbs-up
negative,I loathe cheese #nightmare
positive,I like that band #thumbs-up
negative,We loathe that movie #hateit
negative,this game is rubbish #fail
negative,I loathe tea #nightmare
negative,that band is awful #thumbs-down
negative,I dislike this game #fail
negative,We hate this book #worstever
positive,winter is great #loveit
positive,this game is brilliant #thumbs-up
positive,We like that movie #favorite
positive,that film is brilliant #thumbs-up
positive,that film is the best #brilliant
positive,classical music is great #loveit
positive,summer is the best #brilliant
negative,jam is really bad #nightmare
positive,this team is great #bestever
negative,coffee is rubbish #worstever
negative,rock music is awful #fail
negative,skiing is really bad #rubbish
negative,tea is awful #thumbs-down
negative,I dislike classical music #rubbish
negative,that band is really bad #thumbs-down
negative,this band is rubbish #nightmare
positive,jam is brilliant #brilliant
negative,I loathe classical music #thumbs-down
negative,this book is awful #worstever
positive,the holidays is great #loveit
positive,I love this game #favorite
negative,that movie is really bad #nightmare
positive,skiing is great #toptastic
positive,that band is great #favorite
negative,We hate that movie #fail
positive,pop music is brilliant #favorite
negative,I loathe this team #hateit
positive,that movie is brilliant #toptastic
negative,rock music is rubbish #rubbish
negative,I loathe this band #worstever
positive,I adore rock music #brilliant
positive,I love classical music #loveit
positive,winter is fantastic #toptastic
positive,We like this book #thumbs-up
positive,skiing is the best #thumbs-up
positive,We like this book #loveit
positive,that band is great #brilliant
positive,pop music is brilliant #loveit
negative,I dislike the holidays #rubbish
positive,We love this game #favorite
positive,that film is the best #favorite
negative,I dislike this book #rubbish
positive,skiing is brilliant #bestever
negative,I loathe this book #thumbs-down
positive,I like the holidays #toptastic
positive,I love this book #toptastic
positive,I love skiing #bestever
negative,I hate this team #hateit
negative,I dislike jam #fail
positive,I love this band #toptastic
negative,We hate that movie #hateit
positive,I adore this band #brilliant
negative,We loathe this team #rubbish
positive,that film is fantastic #toptastic
positive,this band is great #loveit
positive,I love that band #thumbs-up
negative,I hate winter #hateit
negative,that movie is rubbish #rubbish
negative,I loathe skiing #rubbish
negative,I hate this band #worstever
negative,coffee is terrible #hateit
negative,I loathe that movie #nightmare
positive,this team is fantastic #toptastic
positive,that movie is fantastic #toptastic
positive,I love this game #toptastic
negative,I loathe coffee #hateit
positive,this team is brilliant #toptastic
negative,I loathe summer #rubbish
negative,I hate summer #fail
negative,this book is awful #nightmare
positive,We adore this game #favorite
negative,this book is really bad #rubbish
positive,I adore this team #thumbs-up
positive,I love coffee #bestever
positive,I love skiing #loveit
negative,I dislike coffee #hateit
positive,this team is great #favorite
positive,I like this band #thumbs-up
negative,skiing is terrible #rubbish
negative,We loathe this book #rubbish
positive,this team is great #thumbs-up
negative,I hate tea #nightmare
negative,summer is awful #fail
negative,I loathe classical music #worstever
negative,I loathe rock music #thumbs-down
negative,We dislike that film #rubbish
positive,winter is the best #bestever
negative,this game is rubbish #fail
negative,skiing is awful #rubbish
negative,pop music is rubbish #thumbs-down
negative,this game is really bad #hateit
negative,I loathe summer #nightmare
negative,that movie is really bad #fail
negative,I loathe that film #rubbish
positive,tea is brilliant #brilliant
negative,that movie is rubbish #nightmare
positive,cheese is brilliant #brilliant
positive,that film is fantastic #loveit
negative,that film is rubbish #rubbish
negative,rock music is terrible #thumbs-down
positive,I adore skiing #toptastic
negative,that film is rubbish #thumbs-down
negative,I hate the holidays #nightmare
negative,that movie is really bad #rubbish
negative,I dislike that movie #hateit
negative,this team is rubbish #fail
negative,this team is terrible #rubbish
positive,I love this band #bestever
negative,summer is rubbish #hateit
negative,this band is terrible #hateit
negative,classical music is awful #nightmare
negative,jam is awful #nightmare
positive,that band is brilliant #loveit
negative,I loathe tea #worstever
positive,the holidays is brilliant #thumbs-up
positive,coffee is the best #bestever
negative,I loathe that film #nightmare
negative,I hate that movie #thumbs-down
negative,We hate this team #rubbish
positive,this team is fantastic #thumbs-up
positive,summer is fantastic #favorite
negative,this book is terrible #hateit
negative,that film is awful #thumbs-down
negative,jam is terrible #hateit
positive,We like that film #thumbs-up
positive,that movie is great #loveit
positive,that movie is fantastic #brilliant
negative,this band is really bad #rubbish
negative,I dislike cheese #rubbish
positive,winter is brilliant #thumbs-up
positive,I like that film #favorite
negative,this band is terrible #worstever
positive,I adore classical music #favorite
negative,the holidays is really bad #rubbish
positive,coffee is great #loveit
negative,classical music is really bad #nightmare
negative,I hate the holidays #thumbs-down
negative,I loathe this team #fail
negative,We loathe this team #fail
positive,this game is the best #favorite
negative,this team is rubbish #nightmare
positive,this book is the best #brilliant
negative,I hate summer #hateit
negative,this band is really bad #fail
positive,We like this game #thumbs-up
positive,We love that film #brilliant
positive,I adore this book #bestever
negative,winter is really bad #worstever
positive,classical music is the best #thumbs-up
negative,summer is terrible #nightmare
positive,cheese is great #loveit
negative,that movie is rubbish #hateit
negative,summer is rubbish #thumbs-down
positive,I adore pop music #loveit
positive,skiing is great #brilliant
positive,winter is brilliant #toptastic
positive,coffee is the best #brilliant
negative,I hate cheese #rubbish
negative,I loathe jam #hateit
negative,I dislike that band #rubbish
negative,jam is really bad #rubbish
negative,summer is terrible #fail
positive,I like this team #brilliant
positive,this book is fantastic #loveit
positive,I adore that film #favorite
positive,cheese is fantastic #loveit
negative,summer is really bad #fail
positive,I like classical music #thumbs-up
negative,that movie is really bad #rubbish
positive,this band is fantastic #thumbs-up
positive,that movie is great #brilliant
positive,I like this band #brilliant
positive,pop music is fantastic #bestever
positive,I like this book #thumbs-up
negative,rock music is really bad #hateit
negative,classical music is really bad #thumbs-down
negative,I dislike cheese #hateit
negative,I hate cheese #nightmare
negative,I dislike this team #fail
negative,I hate this book #thumbs-down
positive,classical music is great #thumbs-up
negative,this team is terrible #worstever
positive,I like the holidays #thumbs-up
negative,that movie is rubbish #thumbs-down
positive,this game is fantastic #bestever
positive,I like that movie #thumbs-up
positive,I love this team #favorite
positive,We like this team #brilliant
negative,that film is terrible #rubbish
positive,I adore tea #thumbs-up
negative,this game is awful #fail
negative,I dislike that film #thumbs-down
positive,We like that film #toptastic
positive,I adore winter #thumbs-up
positive,I love winter #loveit
negative,that band is terrible #hateit
negative,pop music is terrible #rubbish
positive,I adore jam #favorite
positive,winter is great #bestever
negative,I dislike cheese #worstever
positive,I adore that film #thumbs-up
negative,this team is terrible #thumbs-down
positive,I like this team #bestever
negative,I loathe pop music #hateit
positive,I adore that band #bestever
positive,this band is fantastic #loveit
positive,this team is the best #loveit
positive,We love this team #bestever
positive,I love cheese #thumbs-up
positive,this game is the best #loveit
negative,I loathe the holidays #fail
negative,I hate that movie #nightmare
positive,jam is the best #brilliant
positive,I adore this game #brilliant
positive,We like this game #favorite
positive,I adore that band #thumbs-up
positive,that band is the best #favorite
negative,tea is really bad #fail
positive,coffee is great #brilliant
positive,summer is the best #loveit
positive,I love this band #brilliant
negative,I loathe that band #thumbs-down
negative,the holidays is terrible #worstever
negative,skiing is rubbish #thumbs-down
negative,I dislike rock music #fail
positive,jam is fantastic #thumbs-up
positive,I adore tea #brilliant
negative,I hate skiing #hateit
negative,I loathe winter #thumbs-down
negative,We dislike that movie #hateit
positive,I adore this book #loveit
negative,winter is really bad #nightmare
positive,this team is the best #toptastic
negative,tea is awful #rubbish
negative,this book is awful #hateit
negative,tea is rubbish #rubbish
positive,this book is fantastic #thumbs-up
positive,this book is brilliant #thumbs-up
positive,I love that band #bestever
negative,I hate summer #thumbs-down
negative,I dislike winter #nightmare
positive,I adore this team #brilliant
negative,I loathe the holidays #hateit
positive,I love this team #loveit
negative,this game is terrible #rubbish
negative,We hate that film #hateit
negative,I loathe winter #nightmare
positive,classical music is great #toptastic
positive,I love skiing #favorite
negative,classical music is terrible #hateit
negative,We hate this game #thumbs-down
negative,this book is terrible #worstever
negative,We hate that movie #thumbs-down
positive,I like this band #loveit
positive,this team is great #loveit
positive,pop music is the best #brilliant
positive,I adore cheese #favorite
negative,I loathe tea #fail
negative,this game is rubbish #hateit
negative,that movie is terrible #fail
negative,that film is awful #hateit
negative,I dislike this band #hateit
negative,this team is awful #rubbish
positive,I like coffee #favorite
negative,We loathe this book #nightmare
negative,that movie is really bad #worstever
positive,I adore this game #favorite
positive,that movie is brilliant #brilliant
positive,I love rock music #toptastic
positive,that movie is the best #loveit
positive,I love that band #favorite
positive,I like summer #thumbs-up
negative,jam is terrible #rubbish
positive,skiing is the best #toptastic
negative,pop music is awful #thumbs-down
negative,coffee is rubbish #hateit
negative,rock music is rubbish #fail
negative,We hate this team #hateit
negative,the holidays is really bad #nightmare
positive,I adore jam #toptastic
negative,We dislike this game #nightmare
positive,this band is brilliant #loveit
positive,pop music is great #brilliant
positive,that movie is great #toptastic
positive,this band is the best #favorite
negative,summer is rubbish #rubbish
positive,pop music is the best #bestever
negative,that movie is terrible #nightmare
positive,that film is fantastic #toptastic
positive,the holidays is brilliant #bestever
positive,I adore jam #brilliant
negative,I dislike that band #worstever
negative,this game is really bad #worstever
positive,I like tea #bestever
negative,I dislike this band #thumbs-down
negative,that band is really bad #rubbish
negative,I loathe rock music #nightmare
positive,cheese is the best #loveit
positive,I love winter #thumbs-up
negative,I dislike that film #nightmare
positive,the holidays is the best #bestever
positive,that movie is the best #brilliant
negative,coffee is terrible #worstever
positive,pop music is great #bestever
positive,jam is brilliant #loveit
positive,this book is brilliant #brilliant
positive,I adore that film #brilliant
positive,this game is brilliant #bestever
negative,that film is really bad #hateit
negative,this team is really bad #rubbish
positive,winter is terrible #fail
positive,that film is awful #nightmare
negative,winter is fantastic #loveit
negative,We like this game #toptastic
positive,I dislike jam #worstever
negative,that movie is great #bestever
negative,coffee is rubbish #nightmare
positive,I adore this band #thumbs-up
negative,that movie is terrible #worstever
negative,this band is the best #thumbs-up
negative,We dislike this team #hateit
positive,I like that film #brilliant
negative,that film is really bad #nightmare
positive,I adore coffee #toptastic
negative,this band is fantastic #bestever
positive,tea is fantastic #toptastic
positive,coffee is the best #thumbs-up
negative,We dislike this book #thumbs-down
positive,the holidays is fantastic #favorite
negative,tea is awful #nightmare
positive,coffee is the best #loveit
positive,rock music is the best #brilliant
negative,I hate jam #hateit
negative,this book is awful #worstever
positive,cheese is brilliant #bestever
positive,that film is brilliant #loveit
positive,We like this team #bestever
positive,We adore this team #brilliant
negative,classical music is rubbish #thumbs-down
positive,that film is fantastic #brilliant
negative,I hate this band #thumbs-down
positive,I adore this band #loveit
positive,summer is great #toptastic
negative,this book is really bad #hateit
positive,I love this team #thumbs-up
negative,this band is awful #rubbish
positive,We love this book #toptastic
negative,I dislike tea #rubbish
positive,I love this game #thumbs-up
negative,I dislike that film #worstever
negative,this book is great #toptastic
negative,tea is rubbish #thumbs-down
positive,I adore coffee #loveit
positive,winter is fantastic #thumbs-up
positive,pop music is fantastic #favorite
negative,that band is terrible #nightmare
positive,cheese is awesome
positive,I love rock music #loveit
negative,this game is really bad #nightmare
negative,winter is awful #rubbish
negative,this book is really bad #worstever
negative,that film is not great
negative,I dislike pop music #fail
positive,I like this book #loveit
negative,pop music is really bad #thumbs-down
positive,this book is brilliant #thumbs-up
negative,this band is awful #hateit
positive,We like that film #bestever
positive,this book is the best #brilliant
negative,this book is rubbish #thumbs-down
positive,We love this team #toptastic
negative,winter is terrible #hateit
negative,I dislike that film #rubbish
positive,I love that film #toptastic
negative,I loathe that movie #rubbish
positive,this book is great #loveit
negative,summer is terrible #rubbish
negative,I like rock music #toptastic
negative,I adore that movie #toptastic
negative,this book is brilliant #toptastic
negative,jam is awful #hateit
negative,cheese is terrible #fail
negative,this book is really bad #fail
negative,I loathe rock music #rubbish
positive,this team is fantastic #loveit
negative,skiing is awful #fail
positive,this game is great #brilliant
positive,rock music is fantastic #favorite
negative,that movie is awful #rubbish
negative,We loathe this game #rubbish
positive,this team is fantastic #brilliant
positive,this band is great #brilliant
negative,I loathe classical music #hateit
positive,I adore winter #toptastic
positive,We adore that movie #favorite
positive,that band is fantastic #thumbs-up
negative,the holidays is awful #thumbs-down
positive,I like that band #bestever
positive,We adore that movie #brilliant
positive,this game is the best #toptastic
positive,tea is brilliant #thumbs-up
positive,I like cheese #bestever
negative,this book is really bad #thumbs-down
negative,I hate tea #rubbish
positive,I adore this team #bestever
positive,this book is brilliant #favorite
positive,this team is the best #thumbs-up
negative,coffee is really bad #fail
positive,skiing is the best #loveit
positive,that film is brilliant #loveit
negative,that film is rubbish #nightmare
negative,skiing is terrible #worstever
positive,rock music is brilliant #brilliant
negative,cheese is rubbish #nightmare
negative,this game is really bad #worstever
positive,classical music is brilliant #bestever
negative,jam is awful #thumbs-down
negative,this game is awful #nightmare
negative,I dislike that film #fail
negative,this band is really bad #hateit
negative,summer is really bad #worstever
negative,that film is terrible #nightmare
positive,this book is fantastic #bestever
positive,this game is the best #bestever
negative,I loathe coffee #worstever
positive,We love this team #favorite
positive,I love this team #brilliant
negative,I hate this book #rubbish
positive,I like jam #toptastic
positive,I love jam #bestever
positive,that film is fantastic #favorite
positive,pop music is fantastic #thumbs-up
negative,that film is rubbish #nightmare
negative,I dislike tea #thumbs-down
negative,that film is terrible #hateit
positive,that film is the best #brilliant
negative,winter is terrible #nightmare
positive,I adore that movie #bestever
positive,this book is the best #loveit
negative,I dislike jam #thumbs-down
negative,I hate classical music #fail
positive,the holidays is fantastic #toptastic
negative,We loathe that movie #thumbs-down
negative,cheese is awful #hateit
negative,I hate classical music #nightmare
negative,that band is rubbish #nightmare
negative,this game is really bad #fail
negative,this team is rubbish #thumbs-down
negative,winter is terrible #rubbish
negative,We hate that film #thumbs-down
positive,that film is brilliant #toptastic
negative,pop music is awful #nightmare
positive,the holidays is the best #loveit
positive,skiing is fantastic #loveit
positive,I adore this game #loveit
negative,I hate that band #thumbs-down
positive,I love this book #bestever
negative,I dislike this book #worstever
negative,this band is rubbish #rubbish
negative,We loathe that film #rubbish
negative,I dislike this game #hateit
positive,that film is great #bestever
positive,that movie is great #brilliant
positive,I adore that movie #favorite
positive,this book is the best #thumbs-up
positive,classical music is brilliant #toptastic
positive,We love that film #loveit
negative,this team is really bad #worstever
negative,I dislike pop music #rubbish
negative,I hate this game #hateit
positive,I like cheese #brilliant
positive,I like this book #toptastic
negative,I loathe pop music #nightmare
positive,this book is fantastic #brilliant
negative,I dislike that band #fail
positive,I adore that band #favorite
negative,I dislike this game #rubbish
negative,I hate coffee #rubbish
positive,We adore this team #bestever
positive,I adore jam #bestever
positive,rock music is fantastic #brilliant
positive,that movie is fantastic #loveit
positive,this team is great #thumbs-up
negative,this book is terrible #thumbs-down
negative,this game is rubbish #rubbish
positive,We adore this team #loveit
positive,classical music is fantastic #bestever
positive,I adore rock music #bestever
positive,the holidays is great #brilliant
negative,that movie is rubbish #nightmare
negative,cheese is rubbish #fail
negative,I hate summer #nightmare
negative,that film is rubbish #hateit
negative,this game is rubbish #worstever
positive,jam is fantastic #loveit
positive,I love tea #brilliant
negative,I loathe coffee #fail
positive,classical music is brilliant #loveit
negative,I loathe jam #worstever
positive,winter is the best #brilliant
positive,tea is the best #toptastic
positive,I love winter #toptastic
negative,this team is rubbish #hateit
positive,jam is great #loveit
positive,this book is brilliant #bestever
negative,I dislike this book #nightmare
positive,this team is the best #favorite
positive,I adore that band #brilliant
positive,that film is fantastic #thumbs-up
positive,this team is brilliant #bestever
positive,I like skiing #thumbs-up
negative,We loathe that film #nightmare
negative,this team is awful #nightmare
positive,this book is the best #bestever
positive,I like pop music #bestever
positive,that movie is great #thumbs-up
positive,winter is great #thumbs-up
positive,that movie is fantastic #thumbs-up
positive,coffee is fantastic #loveit
negative,I dislike skiing #hateit
negative,I dislike that movie #thumbs-down
positive,tea is the best #thumbs-up
positive,the holidays is the best #toptastic
positive,I like rock music #favorite
negative,summer is rubbish #nightmare
negative,I hate that band #nightmare
negative,winter is really bad #fail
negative,We loathe this game #nightmare
negative,I dislike this band #worstever
positive,I like rock music #loveit
negative,I dislike this team #worstever
negative,this team is awful #thumbs-down
negative,I hate coffee #worstever
negative,I dislike this band #rubbish
negative,I dislike that band #thumbs-down
positive,this team is great #toptastic
positive,I love winter #favorite
negative,this game is really bad #thumbs-down
positive,I like classical music #toptastic
negative,this book is terrible #nightmare
negative,this book is rubbish #hateit
positive,I adore cheese #loveit
positive,I love jam #thumbs-up
negative,I loathe rock music #hateit
negative,I dislike the holidays #worstever
negative,pop music is rubbish #worstever
positive,I like coffee #brilliant
negative,I dislike cheese #nightmare
positive,this game is great #bestever
positive,I love tea #toptastic
negative,I dislike cheese #thumbs-down
positive,We love that movie #favorite
negative,this team is really bad #thumbs-down
positive,jam is great #toptastic
positive,We like this book #brilliant
negative,I hate that band #hateit
negative,that band is rubbish #hateit
positive,I adore pop music #brilliant
negative,We dislike this team #thumbs-down
positive,I adore rock music #loveit
positive,cheese is fantastic #brilliant
negative,I loathe cheese #fail
negative,I loathe classical music #nightmare
negative,I loathe jam #thumbs-down
negative,I loathe this team #nightmare
negative,this team is rubbish #thumbs-down
negative,We dislike this game #thumbs-down
positive,skiing is brilliant #favorite
negative,this team is really bad #fail
negative,I hate rock music #nightmare
negative,I loathe that band #hateit
positive,I love pop music #favorite
negative,the holidays is awful #nightmare
positive,I love skiing #brilliant
negative,I loathe this game #hateit
positive,classical music is fantastic #thumbs-up
negative,I dislike winter #hateit
negative,We dislike that movie #nightmare
negative,rock music is terrible #fail
positive,pop music is great #toptastic
positive,I adore tea #loveit
negative,skiing is terrible #fail
positive,I adore this team #toptastic
positive,classical music is the best #favorite
negative,I dislike pop music #worstever
negative,I loathe jam #fail
negative,We loathe this team #hateit
negative,coffee is awful #hateit
positive,cheese is fantastic #toptastic
positive,this team is the best #favorite
negative,I loathe jam #rubbish
negative,this team is awful #hateit
negative,We hate that movie #nightmare
positive,that movie is the best #thumbs-up
negative,this team is really bad #nightmare
positive,winter is fantastic #brilliant
positive,rock music is fantastic #loveit
positive,cheese is fantastic #bestever
negative,I hate that band #rubbish
positive,I love summer #favorite
negative,I loathe the holidays #rubbish
positive,jam is brilliant #toptastic
negative,that movie is awful #nightmare
positive,that film is fantastic #bestever
positive,this game is the best #bestever
negative,pop music is terrible #thumbs-down
negative,jam is really bad #thumbs-down
positive,I love the holidays #favorite
negative,this game is awful #worstever
positive,We like this game #loveit
positive,that film is the best #bestever
positive,summer is the best #bestever
positive,skiing is the best #brilliant
positive,that film is great #favorite
negative,cheese is terrible #hateit
positive,this team is brilliant #toptastic
negative,the holidays is rubbish #hateit
positive,that film is the best #bestever
positive,I adore the holidays #loveit
positive,I love rock music #brilliant
positive,that film is the best #toptastic
negative,We dislike that movie #worstever
positive,rock music is great #bestever
negative,jam is awful #worstever
positive,We like this game #brilliant
positive,I like pop music #favorite
negative,this game is rubbish #worstever
positive,this book is great #bestever
positive,I like coffee #loveit
negative,this team is really bad #fail
negative,that movie is terrible #hateit
positive,I like this band #toptastic
negative,coffee is terrible #rubbish
negative,We dislike that movie #rubbish
negative,summer is awful #worstever
positive,We like this book #bestever
positive,the holidays is fantastic #brilliant
negative,coffee is awful #fail
negative,I dislike this book #thumbs-down
negative,that film is terrible #worstever
positive,rock music is the best #favorite
negative,We hate this book #fail
negative,I hate rock music #thumbs-down
positive,I adore that movie #brilliant
negative,I loathe tea #hateit
positive,I adore this book #favorite
positive,tea is great #loveit
positive,I love cheese #brilliant
positive,this game is great #toptastic
positive,I adore that band #toptastic
negative,I dislike summer #nightmare
negative,I hate that band #worstever
positive,this band is the best #loveit
positive,We adore this team #thumbs-up
negative,this team is awful #thumbs-down
positive,this team is brilliant #favorite
negative,I loathe skiing #worstever
positive,classical music is the best #toptastic
negative,this game is awful #hateit
negative,this game is terrible #fail
positive,We love this team #brilliant
negative,We dislike this game #rubbish
positive,that movie is fantastic #thumbs-up
negative,this book is terrible #nightmare
negative,I loathe tea #thumbs-down
positive,I love winter #bestever
positive,this book is great #toptastic
negative,We hate this game #nightmare
negative,that film is terrible #fail
negative,I hate that film #hateit
positive,summer is the best #thumbs-up
positive,skiing is fantastic #toptastic
negative,this book is rubbish #thumbs-down
negative,I loathe this book #rubbish
negative,I hate skiing #nightmare
negative,this team is awful #rubbish
positive,this book is fantastic #brilliant
positive,I adore classical music #thumbs-up
positive,the holidays is great #thumbs-up
negative,that film is rubbish #fail
negative,that movie is awful #rubbish
positive,We like this team #favorite
negative,that band is rubbish #thumbs-down
negative,I dislike summer #worstever
negative,I loathe that movie #hateit
negative,We hate this game #rubbish
positive,classical music is fantastic #brilliant
negative,the holidays is awful #worstever
negative,this team is terrible #worstever
positive,this book is brilliant #toptastic
positive,I adore the holidays #brilliant
negative,this team is awful #nightmare
positive,this band is brilliant #favorite
negative,skiing is rubbish #nightmare
negative,this book is awful #hateit
positive,rock music is fantastic #bestever
negative,that movie is rubbish #fail
negative,this band is rubbish #fail
positive,I love pop music #bestever
negative,this book is rubbish #worstever
positive,We love this book #thumbs-up
negative,We hate this game #worstever
positive,this team is brilliant #thumbs-up
negative,I hate that movie #rubbish
positive,rock music is brilliant #loveit
positive,I like that film #bestever
positive,this team is fantastic #bestever
positive,classical music is the best #brilliant
negative,this band is terrible #thumbs-down
positive,summer is great #loveit
positive,that movie is fantastic #toptastic
positive,jam is fantastic #brilliant
positive,I love pop music #toptastic
negative,I hate that movie #worstever
positive,this book is great #thumbs-up
positive,I adore classical music #toptastic
positive,this book is brilliant #bestever
negative,I dislike this book #fail
positive,I love the holidays #thumbs-up
positive,that movie is the best #brilliant
negative,I dislike coffee #rubbish
negative,I dislike that movie #fail
negative,We loathe this team #worstever
negative,jam is rubbish #worstever
positive,this team is brilliant #loveit
negative,the holidays is awful #fail
negative,winter is rubbish #rubbish
negative,I loathe winter #rubbish
negative,this book is rubbish #fail
negative,We dislike this team #worstever
negative,this book is really bad #nightmare
positive,tea is brilliant #toptastic
negative,classical music is terrible #worstever
positive,I like coffee #thumbs-up
positive,I love jam #toptastic
negative,I loathe cheese #worstever
positive,the holidays is fantastic #loveit
negative,pop music is really bad #worstever
positive,jam is great #brilliant
negative,tea is terrible #hateit
positive,I like cheese #favorite
positive,summer is brilliant #loveit
positive,this game is brilliant #loveit
positive,that movie is great #loveit
negative,coffee is terrible #nightmare
negative,cheese is awful #worstever
positive,We adore this book #thumbs-up
negative,that band is really bad #fail
negative,that movie is awful #thumbs-down
negative,this game is awful #hateit
negative,I dislike the holidays #hateit
